data,data_ref,eixo_sentido,rota_principal,antecedencia,pax_atual,pax_referencia,diff_pax,grupos_atual,grupos_referencia,cash_atual,cash_referencia,gmv_atual,gmv_referencia,ticket_medio_atual,ticket_medio_referencia,lf_atual,lf_referencia,yield_atual,yield_referencia
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,41,1,0,1,4,2,110.9,0.0,110.9,0.0,110.9,,0.005,0.0,0.251,
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,41,5,4,1,4,4,884.5,537.6,884.5,663.6,176.9,134.4,0.024,0.019,0.4,0.299
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,40,1,0,1,4,2,110.9,0.0,110.9,0.0,110.9,,0.005,0.0,0.251,
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,40,5,4,1,4,4,884.5,537.6,884.5,663.6,176.9,134.4,0.024,0.019,0.4,0.299
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,39,1,1,0,4,3,110.9,0.0,110.9,70.9,110.9,0.0,0.005,0.006,0.251,0.0
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,39,6,4,2,4,4,1016.4,537.6,1016.4,663.6,169.4,134.4,0.029,0.019,0.384,0.299
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,38,1,1,0,4,3,110.9,0.0,110.9,70.9,110.9,0.0,0.005,0.006,0.251,0.0
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,38,8,4,4,4,4,1206.2,537.6,1206.2,663.6,150.775,134.4,0.038,0.019,0.342,0.299
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,37,8,4,4,4,4,1206.2,537.6,1206.2,663.6,150.775,134.4,0.038,0.019,0.342,0.299
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,37,2,1,1,4,3,324.8,0.0,324.8,70.9,162.4,0.0,0.009,0.006,0.37,0.0
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,36,8,4,4,4,4,1206.2,537.6,1206.2,663.6,150.775,134.4,0.038,0.019,0.342,0.299
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,36,2,1,1,4,3,324.8,0.0,324.8,70.9,162.4,0.0,0.009,0.006,0.37,0.0
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,35,2,1,1,4,3,324.8,0.0,324.8,70.9,162.4,0.0,0.009,0.006,0.37,0.0
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,35,8,4,4,4,4,1206.2,537.6,1206.2,663.6,150.775,134.4,0.038,0.019,0.342,0.299
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,34,11,6,5,4,4,1609.9,743.4,1609.9,869.4,146.35454545454544,123.89999999999999,0.052,0.029,0.332,0.273
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,34,2,2,0,4,3,324.8,70.9,324.8,141.8,162.4,35.45,0.009,0.013,0.37,0.081
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,33,13,6,7,4,4,2117.7,743.4,2117.7,869.4,162.90000000000003,123.89999999999999,0.062,0.029,0.37,0.273
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,33,2,2,0,4,3,324.8,70.9,324.8,141.8,162.4,35.45,0.009,0.013,0.37,0.081
2026-06-06,2026-04-04,RIO-BHZ,BHZ-RIO,32,19,10,9,4,4,3599.1,1307.0,3599.1,1433.0,189.4263157894737,130.7,0.091,0.048,0.424,0.289
2026-06-06,2026-04-04,BHZ-RIO,BHZ-RIO,32,4,2,2,4,3,534.6,70.9,534.6,141.8,133.65,35.45,0.019,0.013,0.305,0.081
